iter	Passed	Remaining
474	633	700
475	634	698
476	635	696
477	635	694
478	636	692
479	637	690
480	638	688
481	640	687
482	640	686
483	642	684
484	642	682
485	643	680
486	644	679
487	645	677
488	646	675
489	646	673
490	647	671
491	648	669
492	649	667
493	650	665
494	650	664
495	651	662
496	652	660
497	653	658
498	654	657
499	655	655
500	656	654
501	657	652
502	658	650
503	659	648
504	660	647
505	660	645
506	661	643
507	662	641
508	663	639
509	663	637
510	664	636
511	665	634
512	666	633
513	668	631
514	669	630
515	670	629
516	671	627
517	674	627
518	675	626
519	676	624
520	677	622
521	678	620
522	679	619
523	679	617
524	680	615
525	681	614
526	682	612
527	683	611
528	685	610
529	686	608
530	687	607
531	688	605
532	689	603
533	689	602
534	690	600
535	691	598
536	692	596
537	693	595
538	694	593
539	694	591
540	695	590
541	696	588
542	697	586
543	698	585
544	699	583
545	700	582
546	702	581
547	703	579
548	703	578
549	704	576
550	705	574
551	706	573
552	707	572
553	709	570
554	710	569
555	711	568
556	713	567
557	715	566
558	717	565
559	718	564
560	720	563
561	722	562
562	724	562
563	726	561
564	727	559
565	729	559
566	730	558
567	732	557
568	733	555
569	735	554
570	737	554
571	739	553
572	741	552
573	743	551
574	744	550
575	746	549
576	748	548
577	749	547
578	750	545
579	753	545
580	754	544
581	756	543
582	758	542
583	759	540
584	760	539
585	761	538
586	762	536
587	764	535
588	765	534
589	768	533
590	769	532
591	770	531
592	772	530
593	774	529
594	775	527
595	776	526
596	777	524
597	778	523
598	780	522
599	782	521
600	784	520
601	785	519
602	786	518
603	788	516
604	789	515
605	790	513
606	791	512
607	792	511
608	793	509
609	795	508
610	796	507
611	797	505
612	799	504
613	800	503
614	801	501
615	802	500
616	803	498
617	804	497
618	805	495
619	805	493
620	806	492
621	807	490
622	808	489
623	808	487
624	810	486
625	811	484
626	812	483
627	813	481
628	814	480
629	815	478
630	815	477
631	816	475
632	817	473
633	818	472
634	818	470
635	819	469
636	820	467
637	821	465
638	821	464
639	822	462
640	823	461
641	824	459
642	825	458
643	826	456
644	827	455
645	828	453
646	829	452
647	830	451
648	831	449
649	831	447
650	832	446
651	833	444
652	834	443
653	834	441
654	835	440
655	836	438
656	837	437
657	838	435
658	839	434
659	840	432
660	840	431
661	842	429
662	842	428
663	843	426
664	844	425
665	845	423
666	845	422
667	846	420
668	847	419
669	848	417
670	848	416
671	849	414
672	850	413
673	851	411
674	851	410
675	852	408
676	853	407
677	854	405
678	855	404
679	855	402
680	856	401
681	857	399
682	858	398
683	858	396
684	859	395
685	860	393
686	861	392
687	861	390
688	862	389
689	863	387
690	864	386
691	864	384
692	865	383
693	866	382
694	867	380
695	867	379
696	868	377
697	869	376
698	870	374
699	871	373
700	871	371
701	872	370
702	873	369
703	874	367
704	875	366
705	875	364
706	876	363
707	877	361
708	877	360
709	878	358
710	879	357
711	880	356
712	880	354
713	881	353
714	882	351
715	883	350
716	884	348
717	884	347
718	885	346
719	886	344
720	887	343
721	888	341
722	888	340
723	889	339
724	890	337
725	891	336
726	892	335
727	893	333
728	893	332
729	894	330
730	895	329
731	896	328
732	897	326
733	898	325
734	898	324
735	900	322
736	900	321
737	901	320
738	902	318
739	903	317
740	903	315
741	904	314
742	905	313
743	906	311
744	907	310
745	907	309
746	908	307
747	909	306
748	910	305
749	910	303
750	911	302
751	912	300
752	913	299
753	914	298
754	915	296
755	916	295
756	916	294
757	917	292
758	918	291
759	919	290
760	920	289
761	921	287
762	921	286
763	922	285
764	923	283
765	924	282
766	925	281
767	926	279
768	927	278
769	928	277
770	929	276
771	930	274
772	931	273
773	932	272
774	933	271
775	934	269
776	935	268
777	936	267
778	937	265
779	938	264
780	939	263
781	940	262
782	941	260
783	942	259
784	943	258
785	944	257
786	945	255
787	946	254
788	947	253
789	948	252
790	949	250
791	950	249
792	951	248
793	951	246
794	952	245
795	953	244
796	954	243
797	955	241
798	955	240
799	956	239
800	957	237
801	958	236
802	959	235
803	960	234
804	961	232
805	962	231
806	963	230
807	965	229
808	966	228
809	966	226
810	967	225
811	968	224
812	969	222
813	970	221
814	971	220
815	972	219
816	972	217
817	973	216
818	974	215
819	975	214
820	976	212
821	976	211
822	977	210
823	978	208
824	979	207
825	980	206
826	981	205
827	982	204
828	982	202
829	983	201
830	984	200
831	985	199
832	986	197
833	987	196
834	988	195
835	988	194
836	989	192
837	990	191
838	991	190
839	992	189
840	993	187
841	993	186
842	994	185
843	995	184
844	996	182
845	997	181
846	998	180
847	999	179
848	1000	177
849	1001	176
850	1002	175
851	1003	174
852	1003	173
853	1004	171
854	1005	170
855	1006	169
856	1007	168
857	1008	166
858	1008	165
859	1009	164
860	1010	163
861	1011	161
862	1012	160
863	1012	159
864	1013	158
865	1015	157
866	1016	155
867	1017	154
868	1018	153
869	1019	152
870	1020	151
871	1020	149
872	1021	148
873	1022	147
874	1023	146
875	1024	144
876	1024	143
877	1025	142
878	1026	141
879	1027	140
880	1028	138
881	1029	137
882	1029	136
883	1030	135
884	1031	134
885	1032	132
886	1033	131
887	1033	130
888	1034	129
889	1035	127
890	1036	126
891	1037	125
892	1037	124
893	1038	123
894	1039	121
895	1040	120
896	1041	119
897	1041	118
898	1042	117
899	1043	115
900	1044	114
901	1045	113
902	1045	112
903	1046	111
904	1047	110
905	1048	108
906	1049	107
907	1050	106
908	1051	105
909	1052	104
910	1053	102
911	1054	101
912	1055	100
913	1056	99
914	1057	98
915	1058	97
916	1059	95
917	1060	94
918	1061	93
919	1062	92
920	1062	91
921	1063	90
922	1065	88
923	1066	87
924	1066	86
925	1067	85
926	1068	84
927	1069	82
928	1070	81
929	1070	80
930	1071	79
931	1072	78
932	1073	77
933	1074	75
934	1074	74
935	1075	73
936	1076	72
937	1077	71
938	1077	70
939	1078	68
940	1079	67
941	1080	66
942	1081	65
943	1081	64
944	1082	63
945	1083	61
946	1084	60
947	1084	59
948	1085	58
949	1086	57
950	1087	56
951	1088	54
952	1089	53
953	1090	52
954	1090	51
955	1091	50
956	1092	49
957	1093	47
958	1093	46
959	1094	45
960	1095	44
961	1096	43
962	1096	42
963	1097	40
964	1098	39
965	1099	38
966	1100	37
967	1101	36
968	1102	35
969	1103	34
970	1104	32
971	1104	31
972	1105	30
973	1106	29
974	1107	28
975	1108	27
976	1108	26
977	1109	24
978	1110	23
979	1111	22
980	1112	21
